Age,Gender,Income,DaysWithoutFrequency,LifetimeValue,UseByTime,AthleticsActivities,WaterActivities,FitnessActivities,TeamActivities,RacketActivities,CombatActivities,SpecialActivities,OtherActivities,NumberOfFrequencies,AttendedClasses,AllowedWeeklyVisitsBySLA,AllowedNumberOfVisitsBySLA,RealNumberOfVisits,NumberOfRenewals,HasReferences,NumberOfReferences,Dropout,AgeGroups,TotalTimeOfEnrollment,TimeSinceLastVisit,RecentActivityPeriod,AverageVisitFrequency
0.8,0,0.5589430894308943,0.001004016064257028,0.02840249852980911,0,0,0,1,0,0,0,0,0,0.008333333333333333,0.017241379310344827,0.9999999999999999,0.02388608176389527,0.027777777777777776,0.0,0,0.0,0,0,0.029927760577915373,0.0005138746145940391,0.008196721311475419,0.030541871921182264
0.3866666666666667,0,0.26727642276422764,0.06024096385542168,0.15232766978717993,0,0,0,0,0,0,0,1,0,0.022916666666666665,0.0024630541871921183,0.16666666666666666,0.07040547876560739,0.013888888888888888,0.3333333333333333,0,0.0,1,4,0.20536635706914344,0.8057553956834532,0.5027322404371585,0.0022254127781765973
0.3066666666666667,1,0.20121951219512196,0.007028112449799196,0.011952254557591748,0,0,0,1,0,0,0,0,0,0.005208333333333334,0.0,0.9999999999999999,0.12306343174510377,0.08333333333333333,0.0,0,0.0,1,4,0.01547987616099071,0.4568345323741007,0.0,0.17714285714285716
0.12000000000000001,1,0.0,0.022088353413654616,0.04939841378323824,0,0,0,0,1,0,0,0,0,0.019791666666666666,0.0049261083743842365,0.16666666666666666,0.07165824529168581,0.041666666666666664,0.0,0,0.0,1,1,0.0825593395252838,0.14542651593011305,0.5027322404371585,0.016607142857142855
0.4666666666666667,1,0.43902439024390244,0.2108433734939759,0.11863248406630958,0,0,0,1,0,0,0,0,0,0.041666666666666664,0.0,0.9999999999999999,0.25226541946799186,0.0,0.5,0,0.0,1,0,0.40144478844169246,0.3705035971223022,0.0,0.0
0.32,0,0.22560975609756098,0.003012048192771084,0.04450307548039481,0,0,0,1,0,0,0,0,0,0.028125,0.0,0.9999999999999999,0.24408067816427945,0.3611111111111111,0.0,0,0.0,1,4,0.12538699690402474,0.6115107913669064,0.505464480874317,0.09476778365667254
0.3066666666666667,1,0.23780487804878048,0.01606425702811245,0.045615652367404676,0,0,0,1,0,0,0,0,0,0.021875,0.0,0.9999999999999999,0.12306343174510377,0.041666666666666664,0.5,0,0.0,1,4,0.6620227038183694,0.11253854059609456,0.0,0.0020710388598151656
0.3066666666666667,1,0.19410569105691056,0.09939759036144577,0.07435192396331676,1,0,0,1,0,0,0,0,0,0.034374999999999996,0.0,0.9999999999999999,0.25226541946799186,0.15277777777777776,0.8333333333333333,0,0.0,1,4,0.8199174406604747,0.09815005138746147,0.0,0.006131439359884923
0.3866666666666667,1,0.32723577235772355,0.06927710843373493,0.06758109890808525,0,0,0,0,0,0,1,0,0,0.005208333333333334,0.0,0.9999999999999999,0.25226541946799186,0.0,0.3333333333333333,0,0.0,1,4,0.21929824561403508,0.48561151079136694,0.0,0.0
0.18666666666666668,0,0.0,0.07429718875502007,0.08058235453057203,0,0,0,0,1,0,0,0,0,0.005208333333333334,0.014778325123152709,0.16666666666666666,0.07165824529168581,0.0,0.3333333333333333,0,0.0,1,3,0.10784313725490195,0.5529290853031861,0.5027322404371585,0.0
0.26666666666666666,0,0.18292682926829268,0.038152610441767064,0.03770046251410589,0,0,0,1,0,0,0,0,0,0.010416666666666666,0.0,0.9999999999999999,0.25226541946799186,0.041666666666666664,0.3333333333333333,0,0.0,1,3,0.14705882352941174,0.736896197327852,0.505464480874317,0.009323308270676692
0.3866666666666667,0,0.28353658536585363,0.0642570281124498,0.1801420919624267,1,0,0,1,0,0,1,0,0,0.20104166666666667,0.0,0.9999999999999999,0.25226541946799186,0.38888888888888884,0.16666666666666666,0,0.0,1,4,0.32352941176470584,0.08016443987667009,0.0,0.039553429027113236
0.8400000000000001,0,0.4105691056910569,0.058232931726907626,0.11783778628987396,0,0,1,0,0,0,0,0,0,0.020833333333333332,0.0,0.9999999999999999,0.25226541946799186,0.041666666666666664,0.16666666666666666,0,0.0,1,2,0.17389060887512897,0.8036998972250771,0.5027322404371585,0.007884696905468419
0.16,0,0.0,0.26305220883534136,0.059952000254303285,0,1,0,0,0,0,0,0,0,0.0,0.0,0.16666666666666666,0.07040547876560739,0.0,0.0,0,0.0,1,3,0.15583075335397314,0.3694758478931141,0.5027322404371585,0.0
0.37333333333333335,1,0.20833333333333334,0.04417670682730923,0.0456474402784621,0,0,1,1,0,0,0,0,0,0.09479166666666666,0.0,0.9999999999999999,0.24408067816427945,0.1388888888888889,0.0,0,0.0,1,4,0.09649122807017543,0.3165467625899281,0.0,0.04736440030557677
0.3466666666666667,1,0.2621951219512195,0.28012048192771083,0.016911168682550028,0,0,0,1,0,0,0,0,0,0.005208333333333334,0.0,0.9999999999999999,0.1186787489038293,0.08333333333333333,0.16666666666666666,0,0.0,1,4,0.14860681114551083,0.9172661870503598,0.008196721311475419,0.01845238095238095
0.6266666666666667,1,0.4563008130081301,0.035140562248995984,0.26336284311076497,1,0,0,1,0,0,1,0,0,0.3072916666666667,0.0,0.9999999999999999,0.17304881613563286,0.125,0.8333333333333333,0,0.0,1,0,0.9540763673890608,0.017985611510791366,0.008196721311475419,0.004311210693038708
